tc_name,BR_1268934_SRC,BR_1463735_SRC,BR_1432520_SRC,BR_1497738_SRC,BR_1463274_SRC,BR_1461828_SRC,BR_1443754_SRC,BR_1443632_SRC,BR_1282551_SRC,BR_1418983_SRC,BR_1291175_SRC,BR_1513270_SRC,BR_1450216_SRC,BR_1436749_SRC,BR_1299787_SRC
TC_165_TRG,0.1663748733741157,0.2221971906364096,0.1658559255994219,0.11135841297725176,0.17015255212995226,0.14819674161311455,0.15147268930840932,0.5293012505537642,0.14918863165390844,0.17977895524490162,0.11444087517888352,0.15280314790862576,0.145074403928749,0.12930628883251685,0.4022716933863658
TC_19_TRG,0.9465412163669649,0.6148476910630624,0.7943872351339103,0.9999941881812552,0.9005809987110792,0.91168203973602,0.759333517165489,0.7727763327835568,0.8729945918085278,0.4415885412450331,0.9999933421976738,0.9121799535830091,0.8902387441948011,0.9996864007999875,0.835107983268749
TC_152_TRG,0.33601204946314817,0.16640722939958907,0.692364169006962,0.11148909602777092,0.23993824810157133,0.1494009245593581,0.14236005331834034,0.17487054047681297,0.15069283127173422,0.7552477141174151,0.11586817395459091,0.15636738946958947,0.14502968281891043,0.1296649556018477,0.5729714658239098
TC_16_TRG,0.9398880443850647,0.6025879554746816,0.7850269409828288,0.999769264043928,0.8929221641767106,0.9056019152925768,0.7502658919155334,0.7606929445053371,0.865945948729498,0.42442972220804703,0.9996355135924442,0.9059434051343455,0.8837436702898648,0.9987913254727376,0.8244255410601347
TC_160_TRG,0.32694969142681873,0.8355132876911833,0.14214289779383263,0.09151808558940305,0.5014342934724567,0.49302935786360436,0.7180341155149134,0.5552806366765325,0.5660889305135619,0.6371668911230012,0.0951428042394159,0.491382558114656,0.5358369287775845,0.1045966203684535,0.15162987800699468
TC_169_TRG,0.16965221339779363,0.22527578147655924,0.16915187173441376,0.11390832437153116,0.17344351615813014,0.15132216512930893,0.15462985423984954,0.5320371173442842,0.1523544969435316,0.18327411557974607,0.11700410054657741,0.1559433410813403,0.1482120335346325,0.13191638711992507,0.4052982570103222
TC_145_TRG,0.34104767144327247,0.17185942343252086,0.6958607594441608,0.11609469748156966,0.24539150526024142,0.15488940962761313,0.14787096959752088,0.18080311719065503,0.15622831099734882,0.7586968319712997,0.12048781213700481,0.1618675121821312,0.15053549048698925,0.13435567040062268,0.5773239297777609
TC_15_TRG,0.9436412403330732,0.6091815976452898,0.7904634618988501,0.9999652512688915,0.8971389142058577,0.908920493025769,0.7551588721483358,0.7671715632796725,0.8697775059992897,0.4340344854510258,0.9999046809156872,0.9093495638435616,0.8872784966242939,0.9993538840256114,0.8304565600960334
TC_149_TRG,0.3298256544115883,0.15866413351239073,0.6882317505378794,0.10625410692509969,0.23297610064422417,0.14246252030203133,0.13501176681867294,0.16605370046594692,0.1435828859400338,0.7503105080403759,0.11060359005558723,0.14940302015054877,0.13801610279691306,0.12425712393262017,0.5670657218977141
TC_167_TRG,0.35171376166806323,0.849706270554678,0.171196173934203,0.113329085580507,0.5228102130980431,0.5125500029023321,0.7334216367825841,0.5795098835992785,0.5845153792418543,0.6584834520675252,0.11707092786171927,0.5111842754683583,0.554517867471795,0.1271130004829038,0.1837647762406058
TC_13_TRG,0.7688014653975912,0.5669259405049841,0.6597756429845996,0.7754944158814764,0.7380365424099711,0.7327835739933208,0.625454981984691,0.8757076719061246,0.7054811462941609,0.4147543555815662,0.7773837374507943,0.7359906764495167,0.715371506002924,0.7863518839842122,0.8393658074631993
TC_14_TRG,0.8186450269365658,0.5525189614095188,0.6963113924859283,0.8410508551853072,0.7803491498173613,0.7819289598966457,0.6566349847320999,0.6784072633071905,0.7499980699405742,0.4151124173097413,0.8414367101461366,0.7845363022538502,0.7618725004151586,0.8464599377952097,0.7339761891603986
TC_17_TRG,0.9455464177050287,0.6130835157240363,0.7928694907478435,0.9999982204694016,0.8994757268055962,0.9108375388032778,0.7580593536991107,0.7709645611721166,0.8720107128857,0.4389215196014508,0.9999763998026274,0.9113096033393573,0.8893371747587038,0.9995847909516028,0.8333872664917087
TC_18_TRG,0.9414700325924036,0.6054027922239607,0.7872566541717917,0.9998736603830118,0.8947172828461435,0.9070291149843784,0.7523594645145555,0.7634827602092916,0.8675899465229402,0.42841214081283263,0.99977051074567,0.9074072203150976,0.8852624351034831,0.999050322169136,0.8269474762516417
