src_artf,trg_artf,link
BR_1294765_SRC,TC_183_TRG,0
BR_1294765_SRC,TC_28_TRG,0
BR_1294765_SRC,TC_146_TRG,0
BR_1294765_SRC,TC_135_TRG,0
BR_1294765_SRC,TC_143_TRG,0
BR_1294765_SRC,TC_60_TRG,0
BR_1294765_SRC,TC_111_TRG,0
BR_1294765_SRC,TC_81_TRG,0
BR_1294765_SRC,TC_180_TRG,0
BR_1294765_SRC,TC_82_TRG,0
BR_1294765_SRC,TC_27_TRG,0
BR_1294765_SRC,TC_127_TRG,0
BR_1294765_SRC,TC_43_TRG,0
BR_1294765_SRC,TC_169_TRG,0
BR_1294765_SRC,TC_138_TRG,0
BR_1294765_SRC,TC_73_TRG,0
BR_1294765_SRC,TC_69_TRG,0
BR_1294765_SRC,TC_112_TRG,0
BR_1294765_SRC,TC_126_TRG,0
BR_1294765_SRC,TC_113_TRG,0
BR_1294765_SRC,TC_50_TRG,0
BR_1294765_SRC,TC_42_TRG,0
BR_1294765_SRC,TC_64_TRG,0
BR_1294765_SRC,TC_56_TRG,0
BR_1294765_SRC,TC_13_TRG,0
BR_1294765_SRC,TC_48_TRG,0
BR_1294765_SRC,TC_164_TRG,0
BR_1294765_SRC,TC_129_TRG,0
BR_1294765_SRC,TC_97_TRG,0
BR_1294765_SRC,TC_5_TRG,0
BR_1294765_SRC,TC_85_TRG,0
BR_1294765_SRC,TC_62_TRG,0
BR_1294765_SRC,TC_116_TRG,0
BR_1294765_SRC,TC_52_TRG,0
BR_1294765_SRC,TC_189_TRG,0
BR_1294765_SRC,TC_157_TRG,0
BR_1294765_SRC,TC_177_TRG,0
BR_1294765_SRC,TC_23_TRG,0
BR_1294765_SRC,TC_58_TRG,0
BR_1294765_SRC,TC_30_TRG,0
BR_1294765_SRC,TC_51_TRG,0
BR_1294765_SRC,TC_4_TRG,0
BR_1294765_SRC,TC_68_TRG,0
BR_1294765_SRC,TC_128_TRG,0
BR_1294765_SRC,TC_17_TRG,0
BR_1294765_SRC,TC_178_TRG,0
BR_1294765_SRC,TC_124_TRG,0
BR_1294765_SRC,TC_151_TRG,0
BR_1294765_SRC,TC_166_TRG,0
BR_1294765_SRC,TC_104_TRG,0
BR_1294765_SRC,TC_78_TRG,0
BR_1294765_SRC,TC_10_TRG,0
BR_1294765_SRC,TC_57_TRG,0
BR_1294765_SRC,TC_83_TRG,0
BR_1294765_SRC,TC_31_TRG,0
BR_1294765_SRC,TC_89_TRG,0
BR_1294765_SRC,TC_41_TRG,0
BR_1294765_SRC,TC_11_TRG,0
BR_1294765_SRC,TC_76_TRG,0
BR_1294765_SRC,TC_181_TRG,0
BR_1294765_SRC,TC_33_TRG,0
BR_1294765_SRC,TC_53_TRG,0
BR_1294765_SRC,TC_131_TRG,0
BR_1294765_SRC,TC_40_TRG,0
BR_1294765_SRC,TC_110_TRG,0
BR_1294765_SRC,TC_133_TRG,0
BR_1294765_SRC,TC_12_TRG,0
BR_1294765_SRC,TC_24_TRG,0
BR_1294765_SRC,TC_191_TRG,0
